0;JNS;460;FI;DEPARTURE;True;True;3;False;2020-07-01T03:10:00.000Z;2020-07-01T03:10:54.000Z;1;[];KUPLA;True;2020-07-01T03:01:36.000Z;;
1;PLT;1070;FI;ARRIVAL;False;;;False;2020-07-01T03:10:34.000Z;2020-07-01T03:11:53.000Z;1;[];;;;;
2;PLT;1070;FI;DEPARTURE;False;;;False;2020-07-01T03:10:34.000Z;2020-07-01T03:13:08.000Z;3;[];;;;;
3;SUL;1071;FI;ARRIVAL;False;;;False;2020-07-01T03:11:14.000Z;2020-07-01T03:14:50.000Z;4;[];;;;;
4;SUL;1071;FI;DEPARTURE;False;;;False;2020-07-01T03:11:14.000Z;2020-07-01T03:14:50.000Z;4;[];;;;;
5;NTH;917;FI;ARRIVAL;False;;;False;2020-07-01T03:18:00.000Z;2020-07-01T03:20:18.000Z;2;[];;;;;
6;NTH;917;FI;DEPARTURE;False;;;False;2020-07-01T03:18:00.000Z;2020-07-01T03:20:18.000Z;2;[];;;;;
7;HSL;451;FI;ARRIVAL;False;;;False;2020-07-01T03:24:00.000Z;2020-07-01T03:25:28.000Z;1;[];;;;;
8;HSL;451;FI;DEPARTURE;False;;;False;2020-07-01T03:24:00.000Z;2020-07-01T03:25:28.000Z;1;[];;;;;
9;TKK;916;FI;ARRIVAL;False;;;False;2020-07-01T03:29:00.000Z;2020-07-01T03:31:38.000Z;3;[];;;;;
10;TKK;916;FI;DEPARTURE;False;;;False;2020-07-01T03:29:00.000Z;2020-07-01T03:31:38.000Z;3;[];;;;;
11;SÄ;918;FI;ARRIVAL;False;;;False;2020-07-01T03:32:00.000Z;;8;[];;;;2020-07-01T03:39:41.000Z;LIIKE_AUTOMATIC
12;SÄ;918;FI;DEPARTURE;False;;;False;2020-07-01T03:32:00.000Z;;8;[];;;;2020-07-01T03:39:41.000Z;LIIKE_AUTOMATIC
13;KIT;453;FI;ARRIVAL;True;True;1;False;2020-07-01T03:42:00.000Z;2020-07-01T04:05:44.000Z;24;[{'categoryCode': 'P', 'detailedCategoryCode': 'P1', 'thirdCategoryCode': 'P113', 'categoryCodeId': 369166410, 'detailedCategoryCodeId': 34996488, 'thirdCategoryCodeId': 218240513}];;;;;
14;KIT;453;FI;DEPARTURE;True;True;1;False;2020-07-01T03:43:00.000Z;2020-07-01T04:06:55.000Z;24;[];;;;;
15;PUS;919;FI;ARRIVAL;False;;;False;2020-07-01T03:47:00.000Z;2020-07-01T04:11:29.000Z;24;[];;;;;
16;PUS;919;FI;DEPARTURE;False;;;False;2020-07-01T03:47:00.000Z;2020-07-01T04:11:29.000Z;24;[];;;;;
17;KTI;966;FI;ARRIVAL;True;True;1;False;2020-07-01T04:01:00.000Z;2020-07-01T04:24:05.000Z;23;[];;;;;
18;KTI;966;FI;DEPARTURE;True;True;1;False;2020-07-01T04:02:00.000Z;2020-07-01T04:25:14.000Z;23;[];;;;;
19;POI;965;FI;ARRIVAL;False;;;False;2020-07-01T04:07:57.000Z;;23;[];;;;2020-07-01T04:30:46.000Z;LIIKE_AUTOMATIC
20;POI;965;FI;DEPARTURE;False;;;False;2020-07-01T04:07:57.000Z;;23;[];;;;2020-07-01T04:30:46.000Z;LIIKE_AUTOMATIC
21;SR;964;FI;ARRIVAL;False;;;False;2020-07-01T04:14:00.000Z;2020-07-01T04:35:58.000Z;22;[];;;;;
22;SR;964;FI;DEPARTURE;False;;;False;2020-07-01T04:14:00.000Z;2020-07-01T04:35:58.000Z;22;[];;;;;
23;PAR;510;FI;ARRIVAL;True;True;1;False;2020-07-01T04:25:00.000Z;2020-07-01T04:44:56.000Z;20;[];;;;;
24;PAR;510;FI;DEPARTURE;True;True;1;False;2020-07-01T04:27:00.000Z;2020-07-01T04:45:07.000Z;18;[];;;;;
25;KIJ;1123;FI;ARRIVAL;False;;;False;2020-07-01T04:28:57.000Z;2020-07-01T04:48:39.000Z;20;[];;;;;
26;KIJ;1123;FI;DEPARTURE;False;;;False;2020-07-01T04:28:57.000Z;2020-07-01T04:49:01.000Z;20;[];;;;;
27;SPL;507;FI;ARRIVAL;True;True;2;False;2020-07-01T04:40:00.000Z;2020-07-01T04:58:18.000Z;18;[];;;;;
28;SPL;507;FI;DEPARTURE;True;True;2;False;2020-07-01T04:41:00.000Z;2020-07-01T05:00:48.000Z;20;[];;;;;
29;RJÄ;506;FI;ARRIVAL;False;;;False;2020-07-01T04:54:00.000Z;2020-07-01T05:12:32.000Z;19;[];;;;;
30;RJÄ;506;FI;DEPARTURE;False;;;False;2020-07-01T04:54:00.000Z;2020-07-01T05:12:32.000Z;19;[];;;;;
31;IM;1352;FI;ARRIVAL;False;;;False;2020-07-01T05:00:48.000Z;;18;[];;;;2020-07-01T05:18:46.000Z;LIIKE_AUTOMATIC
32;IM;1352;FI;DEPARTURE;False;;;False;2020-07-01T05:00:48.000Z;;18;[];;;;2020-07-01T05:18:46.000Z;LIIKE_AUTOMATIC
33;IMT;502;FI;ARRIVAL;False;;;False;2020-07-01T05:04:00.000Z;2020-07-01T05:22:38.000Z;19;[];;;;;
34;IMT;502;FI;DEPARTURE;False;;;False;2020-07-01T05:04:00.000Z;2020-07-01T05:22:38.000Z;19;[];;;;;
35;IMR;603;FI;ARRIVAL;True;True;1;False;2020-07-01T05:07:00.000Z;2020-07-01T05:25:34.000Z;19;[];;;;;
36;IMR;603;FI;DEPARTURE;True;True;1;False;2020-07-01T05:09:00.000Z;2020-07-01T05:29:06.000Z;20;[];;;;;
37;RAH;501;FI;ARRIVAL;False;;;False;2020-07-01T05:13:00.000Z;2020-07-01T05:34:20.000Z;21;[];;;;;
38;RAH;501;FI;DEPARTURE;False;;;False;2020-07-01T05:13:00.000Z;2020-07-01T05:34:20.000Z;21;[];;;;;
39;JTS;499;FI;ARRIVAL;True;True;1;False;2020-07-01T05:20:00.000Z;2020-07-01T05:42:30.000Z;23;[];;;;;
40;JTS;499;FI;DEPARTURE;True;True;1;False;2020-07-01T05:21:00.000Z;2020-07-01T05:43:30.000Z;23;[];;;;;
41;MKO;1180;FI;ARRIVAL;False;;;False;2020-07-01T05:27:00.000Z;2020-07-01T05:47:56.000Z;21;[];;;;;
